Number of Blocks, Time, Time Units, States Explored, Plan Length
19, 3772.86, seconds, 717440, 90
19, 9.11, seconds, 96012, 88
19, 0.00, seconds, 436, 42
19, 2.48, seconds, 32063, 90
19, 0.36, seconds, 10009, 62
19, 2.85, seconds, 43743, 66
19, 0.01, seconds, 634, 42
19, 0.18, seconds, 6266, 78
19, 0.21, seconds, 6859, 62
19, 0.04, seconds, 2213, 58
19, 1.81, seconds, 28073, 80
19, 56.77, seconds, 118132, 76
19, 0.08, seconds, 3140, 68
19, 0.03, seconds, 1541, 54
19, 0.63, seconds, 16111, 82

18, 0.06, seconds, 2351, 62
18, 678.59, seconds, 409320, 94
18, 0.02, seconds, 839, 50
18, 0.05, seconds, 2776, 76
18, 2244.06, seconds, 646681, 82
18, 0.00, seconds, 281, 40
18, 0.25, seconds, 7526, 62
18, 0.06, seconds, 2690, 50
18, 0.07, seconds, 3008, 54
18, 1.37, seconds, 27454, 90
18, 0.04, seconds, 1879, 60
18, 0.06, seconds, 2635, 58
