Number of Blocks, Time, Plan Length
10, 0.0036355720000074143, 30
10, 0.0025934779999943203, 22
10, 0.0031749769999578348, 28
10, 0.0032937940000010713, 28
10, 0.0030882309999924473, 28
10, 0.0018748930000356268, 16
10, 0.003998552999973981, 26
10, 0.0026027039999689805, 22
10, 0.002753945999984353, 24
10, 0.002450578999969366, 22
11, 0.002952634000052967, 22
11, 0.008490416000086043, 22
11, 0.003687251999963337, 30
11, 0.0026275959999111365, 24
11, 0.0030512810000118407, 28
11, 0.004129586999965795, 34
11, 0.003236430000015389, 28
11, 0.006799949999958699, 24
11, 0.0070346549999840136, 26
11, 0.0037028479999889896, 30
11, 0.007532786000069791, 32
11, 0.0033640409999406984, 30
11, 0.003259691000039311, 28
11, 0.00397679299999254, 32
11, 0.0027457479999384304, 24
11, 0.0032520309999881647, 28
11, 0.005068824999966637, 34
11, 0.003272471999935078, 28
11, 0.003045870999926592, 26
11, 0.004789068000036423, 32
11, 0.0036689780000642713, 32
11, 0.002279444999999214, 20
11, 0.002404126999977052, 22
11, 0.010066802999972424, 28
11, 0.004408022000006895, 32
11, 0.0038967550000279516, 24
11, 0.003314422000016748, 30
11, 0.0028609839999944597, 20
11, 0.004778246000000763, 38
11, 0.0030794110000442743, 28
11, 0.009488951999969686, 20
11, 0.0028236430000561086, 24
11, 0.0038640989999976227, 34
11, 0.0030533670000068014, 26
11, 0.002971041999899171, 26
11, 0.004460732999973516, 32
11, 0.0044671960000641775, 36
11, 0.003144743000007111, 26
11, 0.004850016999967011, 34
11, 0.004699275000007219, 32
11, 0.0034294609999960812, 30
11, 0.00319439199995486, 26
11, 0.002745885999956954, 24
11, 0.003384303999951044, 28
11, 0.005553439999971488, 26
11, 0.0062862800000402785, 34
11, 0.003422913999997945, 22
11, 0.0035146049999639217, 28
11, 0.004048248000003696, 34
11, 0.004160837999961586, 32
12, 0.011834604000000581, 34
12, 0.008544847999928606, 32
12, 0.0038993379999965327, 34
12, 0.005821311999966383, 34
12, 0.003908094000053097, 34
12, 0.004511965000006057, 32
12, 0.004161954999972295, 30
12, 0.0068080849999887505, 42
12, 0.004237543000044752, 36
12, 0.003783522999924571, 32
12, 0.00446548200000052, 36
12, 0.0032246890000351414, 28
12, 0.0028082769999855373, 24
12, 0.0048589909999918746, 32
12, 0.004388398000060079, 26
12, 0.008122935999949732, 30
12, 0.0030321739999408237, 26
12, 0.0032593789999282308, 26
12, 0.003805218000024979, 30
12, 0.0032949520000329358, 28
12, 0.0033327359999475448, 28
12, 0.010329418999958762, 30
12, 0.0016887939999605805, 12
12, 0.004449379999982739, 26
12, 0.0032818050000287258, 28
12, 0.0035326180000083696, 32
12, 0.003756829999929323, 34
12, 0.0025970729999471587, 20
12, 0.010349092000069504, 32
12, 0.004110640000021704, 36
12, 0.004059368999946855, 34
12, 0.004539936000014677, 38
12, 0.003786125999909018, 32
12, 0.002690928999982134, 22
12, 0.005041783000024225, 32
12, 0.003652526999985639, 32
12, 0.0036830000000236396, 32
12, 0.0026833130000341043, 22
12, 0.0034670350000851613, 30
12, 0.0033317479999368516, 28
12, 0.0025715369999943505, 22
12, 0.005925357000023723, 28
12, 0.010049346999949194, 30
12, 0.002654843000073015, 22
12, 0.003786965000017517, 32
12, 0.006845885000075214, 34
12, 0.0066940840000597746, 28
12, 0.004014235999989069, 34
12, 0.004547031000015522, 32
12, 0.003583571999911328, 32
13, 0.005359222000038244, 38
13, 0.004228971999964415, 36
13, 0.00849986900004751, 32
13, 0.004143673000044146, 34
13, 0.007074489000046924, 38
13, 0.004029317999993509, 34
13, 0.0038383300000077725, 32
13, 0.0032841589999179632, 26
13, 0.007013002000007873, 32
13, 0.0061184819999198226, 40
13, 0.007229472000062742, 36
13, 0.005182050000030358, 44
13, 0.004115252000019609, 34
13, 0.01043301300001076, 30
13, 0.004427209000027688, 38
13, 0.004076734000022952, 34
13, 0.003943012000036106, 34
13, 0.005163802999959444, 40
13, 0.004312579000043115, 34
13, 0.004369179000036638, 38
13, 0.008806541000012658, 30
13, 0.008449139999925137, 28
13, 0.005491480000046067, 30
13, 0.006784536000054686, 32
13, 0.003413118000025861, 30
