Number of Targets, Time, Plan Length, Num Satellites, Num Modes, Num Instruments, Num Observations
3, 0.012908519999882628, 10, 10, 5, 10, 2
3, 0.009969295000018974, 13, 10, 5, 10, 2
3, 0.016402901999981623, 14, 10, 5, 10, 2
3, 0.01363115399999515, 15, 10, 5, 10, 2
3, 0.014829410999936954, 13, 10, 5, 10, 2
3, 0.007488370999908511, 9, 10, 5, 10, 2
3, 0.009574727999961397, 11, 10, 5, 10, 2
3, 0.006854441999848859, 7, 10, 5, 10, 2
3, 0.009857904000000417, 12, 10, 5, 10, 2
3, 0.01200982499995007, 10, 10, 5, 10, 2
3, 0.0047989639999741485, 6, 10, 5, 10, 2
3, 0.007454727000094863, 9, 10, 5, 10, 2
3, 0.009456114999920828, 7, 10, 5, 10, 2
3, 0.008024966999983008, 10, 10, 5, 10, 2
3, 0.008123071999989406, 10, 10, 5, 10, 2
3, 0.011962115999949674, 13, 10, 5, 10, 2
3, 0.010830579999947076, 11, 10, 5, 10, 2
3, 0.012107153999977527, 10, 10, 5, 10, 2
3, 0.010910891999856176, 13, 10, 5, 10, 2
3, 0.008081671000127244, 10, 10, 5, 10, 2
3, 0.01421974400000181, 13, 10, 5, 10, 2
3, 0.00894834600012473, 10, 10, 5, 10, 2
3, 0.013451005999968402, 13, 10, 5, 10, 2
3, 0.009494553999957134, 12, 10, 5, 10, 2
3, 0.006066997000061747, 8, 10, 5, 10, 2
3, 0.008776753000120152, 11, 10, 5, 10, 2
3, 0.010812953999902675, 14, 10, 5, 10, 2
3, 0.009859716999926604, 9, 10, 5, 10, 2
3, 0.005245093999974415, 6, 10, 5, 10, 2
3, 0.008866184999988036, 10, 10, 5, 10, 2
3, 0.011284084999942934, 8, 10, 5, 10, 2
3, 0.006836836000047697, 8, 10, 5, 10, 2
3, 0.008122993999904793, 10, 10, 5, 10, 2
3, 0.0163971610002136, 15, 10, 5, 10, 2
3, 0.00791796999988037, 11, 10, 5, 10, 2
3, 0.010514906000025803, 6, 10, 5, 10, 2
3, 0.009542102000068553, 12, 10, 5, 10, 2
3, 0.008826866000163136, 12, 10, 5, 10, 2
3, 0.012015910999934931, 8, 10, 5, 10, 2
3, 0.007846127999982855, 10, 10, 5, 10, 2
3, 0.012479776999953174, 11, 10, 5, 10, 2
3, 0.006483894999973927, 9, 10, 5, 10, 2
3, 0.012824923000152921, 15, 10, 5, 10, 2
